codigo1;descricao1;codigo2;descricao2;codigo3;descricao3;codigo4;descricao4;est_atend;Un_med;Un_con;Fator;Est_aqui;Capacidade;Ciclo;Velocidade;Acessorios
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;12000041;DISPLAY PAPELAO P/ VASSOURA  768 / 1X2;;;;;;1;;;;;
GER027;DIVERSOS;CORPORATIV;CORPORATIVO;12002430;EXPOSITOR NOVICA 2 FRENTES;;;;;;1;;;;;
AUX009;DIVERSOS;CORPORATIV;CORPORATIVO;7000826;SUCATA DE PAPELAO;;;;;;1;;;;;
AUX009;DIVERSOS;CORPORATIV;CORPORATIVO;7000792;SUCATA DE ESPUMA;;;;;;1;;;;;
AUX009;DIVERSOS;CORPORATIV;CORPORATIVO;7000811;SUCATA DE MANTA;;;;;;1;;;;;
AUX009;DIVERSOS;CORPORATIV;CORPORATIVO;7000871;SUCATA DE BORRA;;;;;;1;;;;;
EMB007;CAIXAS MI;CORPORATIV;CORPORATIVO;4009161;CX608- MONOFILAMENTO;;;;;;1;;;;;
AUX009;DIVERSOS;CORPORATIV;CORPORATIVO;7000875;SUCATA DE PALLET DESCARTAVEL;;;;;;1;;;;;
AUX009;DIVERSOS;CORPORATIV;CORPORATIVO;7000793;SUCATA DE PLASTICO;;;;;;1;;;;;
AUX009;DIVERSOS;CORPORATIV;CORPORATIVO;7000799;SUCATA FERROSA;;;;;;1;;;;;
MAN128;ZAHORANSKY;CORPORATIV;CORPORATIVO;6010326;SEPARADOR P/ DEP DUPLO DE MAT. F003739;;;;;;1;;;;;
MAN006;AGULHAS;CORPORATIV;CORPORATIVO;6015201;HASTE DA AGULHA BICO 35-40 ZAHO-358945;;;;;;1;;;;;
MAN006;AGULHAS;CORPORATIV;CORPORATIVO;14000035;ARAME P/AGULHA 4,0MMX1,3MM-WZ 35;;;;;;1;;;;;
